name,url
Cartesi,https://coinmarketcap.com/currencies/cartesi/
Biconomy,https://coinmarketcap.com/currencies/biconomy/
API3,https://coinmarketcap.com/currencies/api3/
Syscoin,https://coinmarketcap.com/currencies/syscoin/
Mdex,https://coinmarketcap.com/currencies/mdex/
AVINOC,https://coinmarketcap.com/currencies/avinoc/
COTI,https://coinmarketcap.com/currencies/coti/
Prom,https://coinmarketcap.com/currencies/prom/
MVL,https://coinmarketcap.com/currencies/mvl/
Keep Network,https://coinmarketcap.com/currencies/keep-network/
CEEK VR,https://coinmarketcap.com/currencies/ceek-vr/
Steem,https://coinmarketcap.com/currencies/steem/
MOBOX,https://coinmarketcap.com/currencies/mobox/
Persistence,https://coinmarketcap.com/currencies/persistence/
Ardor,https://coinmarketcap.com/currencies/ardor/
Function X,https://coinmarketcap.com/currencies/function-x/
Radicle,https://coinmarketcap.com/currencies/radicle/
Hashflow,https://coinmarketcap.com/currencies/hashflow/
NuCypher,https://coinmarketcap.com/currencies/nucypher/
NEST Protocol,https://coinmarketcap.com/currencies/nest-protocol/
Orbs,https://coinmarketcap.com/currencies/orbs/
FUNToken,https://coinmarketcap.com/currencies/funtoken/
Powerledger,https://coinmarketcap.com/currencies/power-ledger/
Biswap,https://coinmarketcap.com/currencies/biswap/
HI,https://coinmarketcap.com/currencies/hi-dollar/
Humanscape,https://coinmarketcap.com/currencies/humanscape/
Alpha Venture DAO,https://coinmarketcap.com/currencies/alpha-finance-lab/
dKargo,https://coinmarketcap.com/currencies/dkargo/
aelf,https://coinmarketcap.com/currencies/aelf/
Stratis,https://coinmarketcap.com/currencies/stratis/
Dent,https://coinmarketcap.com/currencies/dent/
IQ,https://coinmarketcap.com/currencies/iq/
Band Protocol,https://coinmarketcap.com/currencies/band-protocol/
Pirate Chain,https://coinmarketcap.com/currencies/pirate-chain/
RACA,https://coinmarketcap.com/currencies/radio-caca/
Polymesh,https://coinmarketcap.com/currencies/polymesh/
MobileCoin,https://coinmarketcap.com/currencies/mobilecoin/
Centrifuge,https://coinmarketcap.com/currencies/centrifuge/
Bifrost,https://coinmarketcap.com/currencies/bifrost/
Rakon,https://coinmarketcap.com/currencies/rakon/
Spell Token,https://coinmarketcap.com/currencies/spell-token/
Bitcoin Standard Hashrate Token,https://coinmarketcap.com/currencies/btc-standard-hashrate-token/
Shentu,https://coinmarketcap.com/currencies/shentu/
Ultra,https://coinmarketcap.com/currencies/ultra/
Hifi Finance,https://coinmarketcap.com/currencies/mainframe/
MiL.k,https://coinmarketcap.com/currencies/milk-alliance/
RAMP,https://coinmarketcap.com/currencies/ramp/
renBTC,https://coinmarketcap.com/currencies/renbtc/
Star Atlas DAO,https://coinmarketcap.com/currencies/star-atlas-polis/
Bancor,https://coinmarketcap.com/currencies/bancor/
Phala Network,https://coinmarketcap.com/currencies/phala-network/
Reef,https://coinmarketcap.com/currencies/reef/
Loom Network,https://coinmarketcap.com/currencies/loom-network/
WazirX,https://coinmarketcap.com/currencies/wazirx/
SingularityNET,https://coinmarketcap.com/currencies/singularitynet/
Sologenic,https://coinmarketcap.com/currencies/sologenic/
Augur,https://coinmarketcap.com/currencies/augur/
Volt Inu V2,https://coinmarketcap.com/currencies/volt-inu-v2/
Wrapped Everscale,https://coinmarketcap.com/currencies/wrapped-everscale/
Everscale,https://coinmarketcap.com/currencies/everscale/
RSK Smart Bitcoin,https://coinmarketcap.com/currencies/rsk-smart-bitcoin/
Morpheus.Network,https://coinmarketcap.com/currencies/morpheus-network/
Ampleforth,https://coinmarketcap.com/currencies/ampleforth/
RichQUACK.com,https://coinmarketcap.com/currencies/richquack-com/
inSure DeFi,https://coinmarketcap.com/currencies/insure/
NKN,https://coinmarketcap.com/currencies/nkn/
Venus BUSD,https://coinmarketcap.com/currencies/venus-busd/
cVault.finance,https://coinmarketcap.com/currencies/cvault-finance/
World Mobile Token,https://coinmarketcap.com/currencies/world-mobile-token/
Velas,https://coinmarketcap.com/currencies/velas/
Constellation,https://coinmarketcap.com/currencies/constellation/
JOE,https://coinmarketcap.com/currencies/joe/
Vai,https://coinmarketcap.com/currencies/vai/
Orbit Chain,https://coinmarketcap.com/currencies/orbit-chain/
Serum,https://coinmarketcap.com/currencies/serum/
QuarkChain,https://coinmarketcap.com/currencies/quarkchain/
Orchid,https://coinmarketcap.com/currencies/orchid/
Conflux,https://coinmarketcap.com/currencies/conflux-network/
Wrapped Velas,https://coinmarketcap.com/currencies/wrapped-velas/
Liquity,https://coinmarketcap.com/currencies/liquity/
LeverFi,https://coinmarketcap.com/currencies/lever/
